"";"NUTS";"GDPPC"
"AT11";"AT11";22744,2194376719
"AT22";"AT22";29977,0183574277
"AT12";"AT12";27125,7600972532
"AT13";"AT13";40197,3095688933
"AT21";"AT21";27747,2463435495
"AT31";"AT31";33696,5195892772
"AT32";"AT32";39408,3707811722
"BE21";"BE21";36177,2493746611
"BE22";"BE22";25710,7566198092
"AT33";"AT33";35037,8107858788
"AT34";"AT34";34817,1000440723
"BE10";"BE10";52388,0374186937
"BE23";"BE23";28107,3583106806
"BE25";"BE25";29520,804205629
"BE31";"BE31";33522,3165999416
"BE32";"BE32";20025,3786679283
"BE24";"BE24";32863,3482229348
"BE33";"BE33";22527,1591079453
"BE34";"BE34";19911,2014473011
"BE35";"BE35";21987,7195369878
"BG32";"BG32";2706,36318962521
"BG34";"BG34";3251,07388093648
"BG31";"BG31";2608,27751083795
"BG41";"BG41";6500,95134150688
"BG33";"BG33";3089,70427416088
"BG42";"BG42";2770,42672841548
"CZ01";"CZ01";25264,5416553168
"CY00";"CY00";17791,461220293
"CZ02";"CZ02";10561,4059579247
"CZ03";"CZ03";10655,8080716364
"CZ04";"CZ04";8950,70631937263
"CZ05";"CZ05";9890,64983479114
"CZ07";"CZ07";9707,14346408006
"CZ08";"CZ08";10034,1748969848
"CZ06";"CZ06";11343,8418889242
"CH01";"CH01";38926,8604900382
"CH02";"CH02";38205,6317278291
"CH03";"CH03";42813,0489826257
"CH04";"CH04";50620,5127724487
"CH05";"CH05";36357,7266830341
"CH06";"CH06";40825,4464748803
"CH07";"CH07";43215,2477247945
"DE12";"DE12";35021,6140496944
"DE11";"DE11";40008,1114525421
"DEA1";"DEA1";33833,2838666522
"DEB3";"DEB3";29676,1937977965
"DEA5";"DEA5";28269,0261305734
"DED4";"DED4";21783,1519516298
"DED5";"DED5";24494,0538284999
"DEF0";"DEF0";26047,6687861998
"DEE0";"DEE0";21499,1129367144
"DEG0";"DEG0";21511,7312800267
"DK01";"DK01";48949,2711077771
"DE93";"DE93";22066,1544519316
"DEB1";"DEB1";26929,3435449014
"DEA2";"DEA2";32424,0840195134
"DEC0";"DEC0";29589,5744977637
"DE94";"DE94";28574,0613500374
"DEA3";"DEA3";27560,5181537327
"DEB2";"DEB2";24998,3952393359
"DED2";"DED2";22859,4733191147
"DEA4";"DEA4";30404,4665516978
"DE21";"DE21";44188,3858285416
"DE23";"DE23";33223,8056359183
"DE26";"DE26";32281,7159628827
"DE40";"DE40";21849,5263935076
"DE50";"DE50";40194,6518451373
"DE60";"DE60";51370,7548355813
"DE72";"DE72";27675,4923748946
"DE71";"DE71";40836,1587077985
"DE73";"DE73";29442,4462341656
"DE80";"DE80";20619,8857765884
"DE92";"DE92";30906,9150562944
"DE91";"DE91";32652,8122989148
"DE13";"DE13";30520,9360144341
"DE24";"DE24";29583,1636217549
"DE14";"DE14";34350,8026816771
"DE27";"DE27";31498,5841320768
"DE22";"DE22";31210,1291362673
"DE25";"DE25";34197,9351735183
"DE30";"DE30";28949,4713988239
"ES11";"ES11";18073,9947201286
"ES23";"ES23";22315,2332349943
"ES12";"ES12";18122,09324309
"ES21";"ES21";26633,2551935979
"ES24";"ES24";22568,2069050562
"ES13";"ES13";18757,4309201225
"ES22";"ES22";25355,776732013
"EL53";"EL53";13187,7769736209
"EL61";"EL61";11754,4166520903
"EL54";"EL54";11900,6567923319
"EL64";"EL64";13029,8889625309
"EL51";"EL51";11315,8338228244
"EL62";"EL62";14567,0818428651
